Gene	Length
RP4-560B9.6	521
RP4-560B9.4	451
ENSG10010135509.1	106
EEF1AKNMT	3831
RP4-612B18.3	423
RP4-612B18.1	350
DNM3	11329
DNM3-IT1	396
DNM3OS	3195
MIR214	110
MIR3120	81
MIR199A2	110
RP5-1116C7.2	2299
RNU6-157P	107
PIGC	5225
C1orf105	1728
SUCO	7894
RNU6-693P	107
FASLG	1805
SLC25A38P1	943
RP3-332O11.2	339
RP1-15D23.2	808
AIMP1P2	312
RP3-471M13.2	658
TNFSF18	2744
GOT2P2	1251
RP3-395P12.2	690
TNFSF4	3963
RP11-296O14.1	316
RP11-296O14.2	1337
PRDX6-AS1	4797
PRDX6	2311
SLC9C2	5123
RP3-436N22.3	677
RP3-436N22.5	1786
ANKRD45	4125
TEX50	812
KLHL20	4244
RP11-360D2.2	255
RN7SKP160	340
CENPL	5165
DARS2	7353
GAS5	4842
GAS5-AS1	814
ZBTB37	19464
SERPINC1	1721
RNA5SP67	131
RC3H1	11698
RNA5SP68	119
RC3H1-IT1	448
LINC02776	335
RPL30P1	339
RABGAP1L-DT	7845
RABGAP1L	16071
RP4-809F4.1	935
GPR52	1582
BANF1P4	270
NDUFAF4P4	502
RP1-102G20.2	395
RABGAP1L-IT1	737
RP1-102G20.4	334
RABGAP1L-AS1	975
RNU6-307P	106
RP1-102G20.8	1271
CACYBP	4611
MRPS14	2594
ENTR1P2	1023
TNN	5042
KIAA0040	4767
RP5-1114G22.2	775
RPS29P4	161
RP3-518E13.2	847
TNR	12806
TNR-IT1	630
LINC01657	1809
LINC02803	1201
RPS29P5	171
COP1	4177
SCARNA3	143
RP11-492I21.1	629
RP11-195C7.1	3350
U7	436
RP11-195C7.2	631
RNU2-12P	168
RP11-195C7.3	795
RP11-357J22.1	424
MORF4L1P7	703
PAPPA2	10926
PTP4A1P7	514
RP4-774I24.3	667
ASTN1	9201
MIR488	83
BRINP2	4492
LINC01645	2026
RP1-35C21.2	2742
LINC01741	1904
SEC16B	7377
CRYZL2P-SEC16B	7841
CRYZL2P	5499
RP11-568K15.2	217
RASAL2-AS1	3187
RASAL2	16081
RP11-21M7.2	311
RP4-765C7.2	357
CLEC20A	3368
RP5-990P15.4	1130
TEX35	4007
C1orf220	2775
RNA5SP69	117
RP5-1098D14.1	577
MIR4424	86
RALGPS2-AS1	1980
RALGPS2	9178
PTPN2P1	1072
ANGPTL1	3598
FAM20B	6046
RP11-177A2.5	344
TOR3A	3224
ABL2	16689
RP11-345I18.1	171
SETP10	814
ENSG10010139226.1	107
ENSG10010138940.1	141
EIF4A1P11	222
RP11-345I18.4	721
COX5BP8	349
RP11-345I18.6	151
SOAT1	7005
AXDND1	6089
MEF2AP1	863
HNRNPA1P54	9714
RP11-545A16.1	3294
NPHS2	1874
RNU5F-2P	82
RP11-545A16.3	2471
RP11-545A16.4	934
TDRD5	4090
RP11-12M5.1	655
FAM163A	2909
RP11-12M5.3	601
LINC02818	353
TOR1AIP2	18876
RP11-533E19.7	989
TOR1AIP1	4692
RN7SL230P	303
RP11-533E19.2	447
RP11-533E19.5	1257
CEP350	14261
RPSAP16	821
RP11-52I18.1	371
RP11-502H18.2	506
QSOX1	9276
LHX4	6085
ACBD6	7512
VDAC1P4	835
MIR3121	77
OVAAL	2213
XPR1	8913
LINC02816	748
KIAA1614	10452
RP11-46A10.5	2424
KIAA1614-AS1	1440
RP11-46A10.6	537
RP11-46A10.8	411
STX6	6477
MR1	9441
IER5	4201
LINC01732	667
RP11-540K16.2	532
LINC01699	259
CACNA1E	18271
RNA5SP70	79
RP11-33M22.4	2039
RP11-33M22.2	557
RN7SKP229	302
RP11-33M22.3	3846
ZNF648	3649
RP11-538D16.2	2463
RP11-538D16.3	1145
LINC01344	6663
GS1-122H1.1	1019
YPEL5P1	367
RNU6-152P	107
RP11-416K24.1	511
EIF1P3	334
GLUL	12638
TEDDM1	2551
LINC00272	740
RGSL1	9063
RP1-223H12.5	195
TEDDM2P	786
RNASEL	6125
RGS16	2408
LINC01686	1376
RGS8	6685
LINC01688	259
RP11-317P15.6	408
NPL	4975
RP11-249O6.2	1000
DHX9	5898
SHCBP1L	2982
HMGN1P4	290
5S_rRNA	1021
RP11-505O17.1	759
KRT18P28	1332
RNU6-41P	107
LAMC1	8446
LAMC1-AS1	479
LAMC2	6770
NMNAT2	6943
RP11-548N1.2	932
RPS3AP8	684
RP11-74N20.2	835
SMG7-AS1	3383
SMG7	8317
NCF2	2929
RP1-127C7.8	855
ARPC5	10650
RGL1	5306
APOBEC4	2782
RP11-293B7.1	936
RP11-444D13.1	364
COLGALT2	7806
TSEN15	10197
GS1-215N23.2	2296
RP11-382D12.1	333
RN7SL654P	292
C1orf21-DT	952
C1orf21	11594
GS1-115G20.1	423
GS1-115G20.2	1325
RP4-768P8.2	7564
GS1-238N13.1	3414
EDEM3	7792
NIBAN1	8330
RNU7-13P	62
LINC01633	1423
RNA5SP72	117
RNF2	3906
FTH1P25	469
TRMT1L	4914
SWT1	4068
RPL22P24	376
RPL5P5	893
RP4-635A23.3	1152
RP4-635A23.4	973
RP4-635A23.6	1989
IVNS1ABP	7873
GS1-279B7.2	752
GS1-279B7.1	1205
RNU7-183P	62
MCRIP2P2	209
GS1-204I12.3	2336
LINC01350	2404
GS1-204I12.4	1354
HMCN1	18739
GS1-174L6.4	353
GS1-174L6.5	681
PRG4	5049
TPR	12350
RNU6-1240P	104
ODR4	4073
PDC-AS1	6997
PDC	1331
GS1-304P7.3	532
GS1-304P7.2	1021
GS1-304P7.1	677
RP11-295K2.6	1747
PTGS2	5484
PACERR	2544
PLA2G4A	2879
LINC01036	12088
RP11-445P19.2	260
FDPSP1	1071
RP11-393M18.5	274
SLC4A1APP2	1259
RP5-925F19.1	493
RP11-134C1.2	1406
RP11-134C1.1	228
RN7SKP156	342
RP11-201A3.1	2277
RP11-405P11.1	540
RP11-669M2.1	746
RP11-669M2.2	407
RPS3AP9	792
RP11-316I3.1	2157
RP11-316I3.2	1202
LINC01035	1393
CLPTM1LP1	484
GAPDHP75	943
RNA5SP73	108
LINC01701	451
RP11-445J9.1	414
RP11-445J9.2	1230
RP11-113I24.1	3528
BRINP3	4273
RP11-547I7.1	602
LINC01351	607
RP11-161I10.1	506
LINC01720	2216
RP11-463J7.1	209
RP11-463J7.3	433
RP11-544G4.1	2438
HNRNPA1P46	937
RP11-309H21.3	3125
RP11-309H21.4	219
LINC01680	299
LINC02770	2312
RP11-541F9.1	780
RGS18	2801
RP11-139E24.1	10098
RP11-142L4.3	780
RP11-142L4.2	443
RGS21	1794
RP5-1011O1.3	1401
RGS1	4074
RGS13	5928
RPS27AP5	522
MIR4426	63
RP3-419C19.3	378
RP3-419C19.2	571
RGS2	2088
RN7SKP126	300
ZNF101P2	1229
UCHL5	6661
SCARNA18B	135
RO60	9070
GLRX2	6210
CDC73	10512
MIR1278	81
B3GALT2	3548
LINC01031	2017
RP11-57K16.1	4050
RP11-563D10.1	1595
RP11-21J7.1	401
RP11-98G13.1	850
RPL23AP22	453
EEF1A1P14	1376
RP11-476H20.1	440
RNU6-983P	103
RP11-489C13.1	442
RP11-489C13.2	1782
RP11-379L12.1	7089
LINC01724	1094
KCNT2	7192
MIR4735	69
CFH	7980
CFHR3	4261
CFHR1	2223
RP11-109P13.1	614
CFHR4	2476
CFHR2	2750
RP4-608O15.4	177
CFHR5	2814
F13B	2893
ASPM	11994
SEPTIN14P12	560
ZBTB41	8679
RP11-332L8.1	1034
CRB1	12721
MRPS21P3	262
RP11-75C23.1	548
DENND1B	13203
EEF1A1P32	1347
RP11-448G4.2	472
FAM204BP	701
RP11-448G4.4	247
C1orf53	628
LHX9	10442
NEK7	5454
PRR13P1	408
RP11-404H1.1	2417
ATP6V1G3	678
RP11-553K8.2	363
PTPRC	9168
RP11-553K8.5	416
PEBP1P3	548
MIR181A1HG	5391
MIR181B1	110
MIR181A1	110
RP11-16L9.1	790
RP11-16L9.2	1882
LINC01222	1785
LINC01221	662
RP11-16L9.5	1531
LINC02789	2296
RPL23AP16	421
RP11-104D3.2	1335
RP11-2L13.1	400
RP11-567B20.1	251
RNU6-778P	103
RP11-567B20.2	728
RNU6-716P	103
RNU6-609P	107
NR5A2	7543
RNU6-570P	105
RP11-47A17.2	749
CCNQP1	645
LINC00862	3536
RP11-532L16.3	533
RP11-532L16.1	517
RP11-469A15.2	4073
ZNF281	4895
RP11-121P12.1	638
KIF14	7294
DDX59	4410
DDX59-AS1	736
CAMSAP2	7777
RPL34P6	345
GPR25	1198
INAVA	5341
MROH3P	3061
RNU6-704P	103
KIF21B	12164
RP11-168O16.1	3508
RP11-168O16.2	854
CACNA1S	7266
ASCL5	2036
TMEM9	3919
IGFN1	12117
RP11-567E21.3	771
PKP1	6211
TNNT2	7342
RP11-27G14.5	1694
LAD1	3261
RP11-27G14.4	556
TNNI1	7524
RP11-134G8.2	387
PHLDA3	3243
RP11-134G8.10	598
CSRP1	10318
RP11-134G8.7	1516
RPS10P7	3018
NAV1	22453
RP11-25B7.1	579
IPO9-AS1	1274
MIR5191	120
RP11-90L20.2	1809
RNU6-501P	100
MIR1231	92
IPO9	11904
MIR6739	75
SHISA4	1911
RP11-307B6.3	671
LMOD1	3967
TIMM17A	3504
SNORA70H	135
RPL10P4	308
RNPEP	3455
ELF3-AS1	5569
MIR6740	113
ELF3	7186
RP11-510N19.5	987
RP11-510N19.2	87
RP11-510N19.3	84
CRIP1P3	220
GPR37L1	7581
ARL8A	1975
PTPN7	5906
PTPRVP	6596
LGR6	4685
UBE2T	1652
PPP1R12B	21069
CYCSP4	331
RNU6-89P	100
RP11-175B9.2	1562
RP11-175B9.3	254
SYT2	7811
RP11-569A11.1	314
RP11-569A11.2	365
KDM5B	24899
RP11-480I12.2	190
SLC25A39P1	1065
RP11-480I12.10	592
PCAT6	890
MGAT4EP	2810
TUBA5P	2958
ACTG1P25	2321
RABIF	3119
KLHL12	3508
HNRNPA1P59	918
ADIPOR1	3113
CYB5R1	4495
MGAT4FP	1239
RP11-38O14.6	310
TMEM183A	4038
PPFIA4	9707
MYOG	1507
ADORA1	4191
RP11-335O13.7	3051
RP11-335O13.8	353
MYBPH	1818
CHI3L1	3363
CHIT1	7732
NPM1P40	733
LINC01353	1583
LINC01136	2725
BTG2	2757
RNU6-487P	104
FMOD	3034
RP11-435P24.2	287
LARP7P1	316
PRELP	5769
OPTC	1434
ATP2B4	9495
NSA2P1	792
SNORA77	125
LAX1	3336
ZC3H11A	12829
ZBED6	12481
RP11-397P13.9	99
RP11-397P13.6	643
RPL35AP5	328
SNRPE	2080
KRT8P29	1371
HSPE1P6	291
CBX1P3	527
RP11-450D21.4	776
LINC00303	1987
RP11-74C13.6	2560
SOX13	7420
RP11-74C13.4	444
ETNK2	4513
ERLNC1	1536
REN	1749
RP11-203F10.1	532
KISS1	714
GOLT1A	1029
PLEKHA6	9656
RP11-203F10.5	1484
RP11-203F10.6	483
LINC00628	1289
RP11-739N20.2	486
RP11-739N20.3	234
PPP1R15B	5259
PIK3C2B	10169
MDM4	11008
RP11-430C7.2	848
RNA5SP74	109
RP11-430C7.4	683
LRRN2	5686
RP11-430C7.5	2219
RP11-23I7.1	445
RNA5SP75	111
ENSG10010137173.1	116
RP11-80N9.1	2491
NFASC	21271
RP11-494K3.2	562
CNTN2	17721
TMEM81	1332
RBBP5	4404
RP11-536L3.4	784
RP11-383G10.1	305
DSTYK	8475
RP11-383G10.3	552
TMCC2	5822
TMCC2-AS1	686
NUAK2	3391
KLHDC8A	3666
SNRPGP10	225
LEMD1-AS1	2781
LEMD1	1041
BLACAT1	6731
MIR135B	97
LEMD1-DT	2885
CDK18	6830
RNU2-19P	84
MFSD4A	5790
RNU6-418P	107
ELK4	12191
RP11-6B6.3	353
SLC45A3	3752
NUCKS1	6449
SNORA72	1007
RAB29	3904
RP11-212H11.5	1155
SLC41A1	6378
RP4-681L3.3	6230
PM20D1	2611
SLC26A9	5628
RP4-681L3.2	230
RAB7B	3686
CTSE	3562
CH17-84K15.2	2076
RHEX	1721
ENSG10010139560.1	86
AVPR1B	5062
RP11-38J22.3	630
CH17-84K15.4	772
RPL22P4	390
RP11-38J22.1	271
FAM72A	3761
SRGAP2	15609
RP11-421E17.4	112
IKBKE	3791
MIR6769B	62
C1orf147	2096
RP11-534L20.5	509
RASSF5	6975
RP11-534L20.4	792
CH17-76K2.6	3135
EIF2D	8066
DYRK3-AS1	938
DYRK3	10297
MAPKAPK2	4232
RP11-343H5.4	433
IL10	3439
IL19	6231
IL20	1298
IL24	1979
FCMR	3417
RP11-564A8.8	466
RP11-564A8.4	611
PIGR	4372
FCAMR	3541
C1orf116	5501
PFKFB2	10176
YOD1	6652
C4BPB	3201
C4BPA	2470
RP11-164O23.8	477
RP11-164O23.5	77
C4BPAP1	1893
RP11-164O23.7	945
C4BPAP2	478
RP11-6J21.2	1264
CD55	5752
RP11-357P18.3	479
CR2	4885
CR1	12583
RP11-78B10.2	1506
CR1L	2768
CD46P1	763
CDCA4P3	689
RNA5SP534	84
RP11-57I17.4	556
CD46	8711
CDCA4P4	680
MIR29B2CHG	16745
MIR29C	88
MIR29B2	81
CD34	9219
RP11-328D5.5	2133
LINC02767	7440
PLXNA2	13845
RP11-243A2.1	855
RP11-2P2.1	87
RP11-2P2.2	3110
LINC01735	2399
LINC02769	285
RPS26P13	330
LINC01717	1666
LINC01774	595
RP5-1051D14.2	139
RP11-385M4.5	1739
RP11-385M4.1	3113
RP11-385M4.2	362
TFDP1P1	1224
ATP5MC2P1	426
LINC01696	849
LINC01698	2664
MIR205HG	3523
MIR205	110
RP1-272L16.1	1069
RP1-272L16.4	315
CAMK1G	3328
LAMB3	4647
MIR4260	67
HSD11B1-AS1	477
G0S2	876
HSD11B1	1512
ADORA2BP1	842
TRAF3IP3	7750
C1orf74	4684
IRF6	4971
UTP25	10411
SYT14	13977
RP4-782D21.1	1995
SERTAD4-AS1	1004
SERTAD4	5470
ST13P19	1124
RP4-667H12.4	857
HHAT	6645
RP5-879K22.2	2483
RNU5A-8P	114
RP5-879K22.3	1477
BPNT2P1	668
KCNH1	9797
RP11-75I2.3	3618
RP11-434N15.2	4652
IPO8P1	3109
RP11-543B16.5	536
RP11-543B16.3	2364
KCNH1-IT1	626
RP11-543B16.1	362
PRELID1P5	659
RCOR3	9092
TRAF5	9022
RP11-318L16.8	602
LINC00467	6942
SNX25P1	834
ARPC3P2	533
RD3	3511
RP11-359E8.3	491
SLC30A1	5893
RP11-359E8.5	711
RP11-354K1.2	793
LINC01693	2393
NEK2	3095
FDPSP8	1089
RP11-122M14.1	2465
RP11-122M14.3	174
LPGAT1	8790
RN7SL344P	296
LPGAT1-AS1	1580
RP11-565J7.1	386
INTS7	5326
ENSG10010135192.1	122
DTL	4923
RPL21P28	483
MIR3122	73
RN7SKP98	156
RP11-15I11.2	510
LINC02608	1189
PPP2R5A	3942
RP11-384C4.6	650
RP11-384C4.7	387
RPL23AP18	468
SNORA16B	135
RP11-384C4.2	496
PACC1	2917
RP11-61J19.7	1727
NENF	1264
LINC02771	873
RP11-61J19.6	1112
LINC01740	332
RP11-61J19.5	1899
RP11-61J19.8	1571
ATF3	4040
RP11-338C15.5	2225
FAM71A	2302
RP11-338C15.2	460
LINC02773	1388
BATF3	2569
NSL1	13867
TATDN3	3992
RP11-348H3.2	479
SPATA45	506
FLVCR1-DT	4270
RP11-348H3.4	147
RP11-348H3.5	192
FLVCR1	6422
RP11-348H3.8	554
VASH2	9086
ANGEL2	7317
RPS6KC1	6191
RPL31P13	370
RP11-554K11.2	942
RP11-323I1.1	347
PROX1-AS1	12304
LINC00538	1906
PROX1	8936
RP11-478J18.2	2627
LINC02775	2074
SMYD2	4889
RP11-176D17.3	518
PTPN14	18752
RP11-365D23.4	575
KRT18P12	1273
CENPF	11673
ABHD17AP3	1137
UBE2V1P13	439
GAPDHP24	983
RP11-323K10.1	418
RP11-323K10.2	2181
KCNK2	4294
VDAC1P10	891
RP11-199H2.2	582
KCTD3	5017
USH2A	20633
SNORD116	263
RP5-1111A8.3	800
USH2A-AS2	774
USH2A-AS1	699
MRPS18BP1	192
ESRRG	10932
GPATCH2	8841
SPATA17	6515
SPATA17-AS1	420
UBBP2	231
LINC00210	1584
RP11-152L7.1	215
LINC01653	1728
RP11-152L7.3	702
RNU1-141P	158
RRP15	7877
RP11-224O19.4	711
RP11-224O19.5	216
TGFB2-AS1	557
TGFB2	6050
TGFB2-OT1	1371
LINC02869	1242
NXNP1	1051
LINC01710	834
LYPLAL1-DT	5514
LYPLAL1	2941
RIMKLBP2	654
RP11-135J2.3	1126
RP11-392O17.2	2614
RP11-392O17.3	715
LYPLAL1-AS1	2837
RP11-95P13.2	182
ZC3H11B	4965
SLC30A10	8831
RNA5SP76	87
EPRS1	5323
BPNT1	3113
IARS2	4135
MIR215	110
MIR194-1	85
RPS15AP12	388
RAB3GAP2	10343
MIR664A	82
SNORA36B	131
SNX2P1	665
RP11-568G11.5	303
MORF4L1P1	967
AURKAP1	1212
XRCC6P3	1621
RP11-302I18.1	933
RP11-302I18.3	245
RP11-410C4.5	2912
RP11-410C4.1	338
RP11-410C4.2	159
PRELID3BP1	540
LINC02779	814
MARK1	15255
RN7SL464P	297
HDAC1P2	2006
C1orf115	2891
MTARC2	2597
MTARC1	9106
RP11-295M18.8	1516
RNU6ATAC35P	444
ENSG10010138758.1	118
RP11-295M18.6	536
LINC01352	962
HLX-AS1	563
HLX	5629
RP11-453O22.1	357
LINC02817	4533
RP11-103C3.1	807
RP11-103C3.4	342
RP11-103C3.2	858
RP11-103C3.3	1297
DUSP10	2827
LINC01655	819
RNU6-403P	104
LINC02257	998
LINC02474	1366
LINC01705	1896
RP11-400N13.1	1691
QRSL1P2	964
RP11-358H9.1	318
CICP13	2789
RP11-378J18.9	1588
RNU6-791P	104
RP11-378J18.10	372
HHIPL2	3290
TAF1A	2891
TAF1A-AS1	2261
MIA3	10155
RP11-378J18.6	445
RP11-378J18.8	2646
AIDA	4232
BROX	4980
FAM177B	2603
RP11-452F19.4	3827
DISP1	13030
NDUFB1P2	176
XXyac-YM960E7.1	5233
TLR5	7733
RP11-239E10.2	613
RP11-239E10.3	487
SUSD4	5336
RNU4-57P	135
CCDC185	2051
CAPN8	5174
SNRPEP10	274
RNU6-1248P	64
CAPN2	8585
TP53BP2	5979
PHBP11	809
ACTBP11	1126
CICP5	2215
GTF2IP20	4145
RNU6-1319P	104
SEPTIN7P13	4349
RP11-504P24.9	573
RP11-504P24.5	246
RN7SKP49	260
FBXO28	6020
RP11-365O16.1	231
DEGS1	2446
RP11-365O16.3	1314
RP11-365O16.6	1323
NVL	4615
MIR320B2	138
RP11-365O16.5	474
RNU6-1008P	104
CNIH4	5090
WDR26	11146
MIR4742	85
CNIH3	6367
AKR1B1P1	956
CNIH3-AS2	4135
DNAJB6P6	714
RP11-3L21.3	1240
CNIH3-AS1	837
LINC02813	1585
RP11-449J1.2	1750
DNAH14	19693
LBR	5710
LINC02765	2266
RP11-496N12.9	559
ENAH	15044
RP11-145A3.1	3547
RP11-145A3.2	534
RNU6-1304P	106
SRP9	2220
RP11-145A3.4	301
EPHX1	2476
RP11-285F7.2	348
TMEM63A	10350
LEFTY1	1891
RP4-559A3.7	1625
PYCR2	3602
MIR6741	63
RP4-559A3.6	342
LEFTY2	2286
NDUFA3P3	250
SDE2	3987
H3-3A-DT	1542
H3-3A	3826
LINC01703	1613
RP11-396C23.3	169
ACBD3	3589
ACBD3-AS1	535
RP11-275I14.2	352
MIXL1	2035
LIN9	4442
YBX1P9	679
RP11-125A15.3	540
PARP1	18399
RP11-118H4.3	521
RPS3AP7	781
RN7SKP165	356
CDKN2AIPNLP1	302
RP11-118H4.4	605
STUM	7843
ITPKB	7036
ITPKB-IT1	870
ITPKB-AS1	538
RPS27P5	244
RP11-450B15.1	1521
PSEN2	16397
RP5-1087E8.6	9620
COQ8A	4736
RP5-1087E8.2	199
CDC42BPA	14243
RP5-1087E8.3	440
RP5-1087E8.5	1352
RP11-1B20.1	814
RP11-211A18.2	821
RP11-211A18.1	432
RP11-211A18.3	904
LINC01641	2700
NUCKS1P1	703
CTD-2090I13.3	451
BTF3P9	283
RP11-275O4.4	202
FAM166AP5	776
TUBB8P10	1279
TUBB8P9	1276
FAM166AP4	772
RP11-275O4.7	951
RNA5SP77	120
ZNF678	8915
FAM133FP	671
ZNF847P	1077
SNAP47	10190
JMJD4	4315
SNAP47-AS1	1708
RP3-451C13.1	4288
PRSS38	1267
WNT9A	4005
MIR5008	94
CICP26	2448
SEPTIN14P17	177
WNT3A	2996
LINC02809	2642
ARF1	3281
MIR3620	79
C1orf35	4308
MRPL55	1886
FAM96AP2	477
RP5-881P19.8	1065
RP11-520H14.7	2249
RP11-520H14.1	208
GUK1	4725
GJC2	2165
IBA57-DT	641
IBA57	10230
OBSCN-AS1	3862
OBSCN	39568
RP5-1139B12.2	10019
RP5-1139B12.4	1130
RP5-1139B12.5	1353
RP11-245P10.9	4828
RP11-245P10.6	574
TRIM11	8488
RP11-245P10.8	480
MIR6742	62
RP11-245P10.4	485
TRIM17	3553
H3-4	516
RPL23AP15	459
H2AW	895
H2BU1	2364
MIR4666A	79
H2BU2P	524
RP5-915N17.11	933
RNF187	3386
BTNL10	731
RNA5SP19	109
RNA5SP162	44
RNA5S1	119
RNA5S2	119
RNA5S3	119
RNA5S4	119
RNA5S5	119
RNA5S6	119
RNA5S7	119
RNA5S8	119
RNA5S9	119
RNA5S10	119
RNA5S11	119
RNA5S12	119
RNA5S13	119
RNA5S14	119
RNA5S15	119
RNA5S16	119
RNA5S17	119
RNA5SP18	121
DUSP5P1	1139
ENSG10010138531.1	125
FTH1P2	412
RHOU	3965
RP4-799G3.1	554
RP4-799G3.2	547
LINC02815	659
ISCA1P2	421
LINC02814	3937
RP5-1061H20.5	1223
TMEM78	2175
RP5-1061H20.4	8197
RAB4A	3310
RP4-803J11.2	640
CCSAP	6257
RNU6-180P	61
RN7SKP276	268
RP5-1068B5.1	350
ACTA1	2381
NUP133	6081
RP5-1068B5.5	478
RP4-613A2.1	723
ABCB10	4268
RNU4-21P	126
RNA5SP78	118
HMGN2P19	265
TAF5L	6402
URB2	5989
RP11-108F13.2	906
HMGB1P26	628
LINC01682	2666
LINC01736	1186
GALNT2	7712
RP5-956O18.2	1325
RP5-956O18.3	1029
PGBD5	11257
RP4-553F17.1	540
LINC01737	403
RP11-543E8.2	404
COG2	10946
AGT	12703
RP11-99J16__A.2	1345
CAPN9	2593
RNA5SP79	109
RP5-858B6.1	311
C1orf198	5161
RP5-858B6.3	1944
RP5-858B6.4	657
RP5-858B6.5	878
RN7SL837P	287
TTC13	4212
ARV1	2125
FAM89A	2402
MIR1182	97
RP11-423F24.3	573
RP5-1097F14.1	495
TRIM67	9389
TRIM67-AS1	1348
C1orf131	5413
GNPAT	3261
RNA5SP80	111
EXOC8	5100
SPRTN	5906
RP5-876B10.6	138
EGLN1	5381
RP5-876B10.7	3690
SNRPD2P2	333
RP11-295G20.2	4472
TSNAX	6353
TSNAX-DISC1	4207
LINC00582	597
DISC1	12931
RNU5A-5P	116
DISC2	16539
ENSG10010139087.1	205
DISC1-IT1	762
RP5-865N13.2	818
RP5-865N13.1	2241
RP11-284L19.1	237
RN7SL299P	280
SIPA1L2	8552
RNU6-1211P	105
LINC01745	372
LINC01744	2269
MAP10	4514
RNU1-74P	171
RP4-659I19.4	933
RP4-659I19.1	784
NTPCR	15854
PCNX2	13827
RPS7P3	580
RP5-862P8.3	324
MAP3K21	7960
RNU4-77P	156
RP11-528D17.1	2077
KCNK1	3527
MIR4427	68
RP5-895L2.1	1079
RP11-301G21.1	353
RP11-301G21.2	3791
RP11-488L4.2	729
SLC35F3	3447
RAC1P7	377
RP4-799P18.2	1723
RP4-799P18.4	452
SLC35F3-AS1	388
RP4-799P18.5	570
MIR4671	73
RP5-827C21.1	438
RP5-827C21.2	410
RP5-827C21.6	626
COA6-AS1	575
COA6	2288
TARBP1	7819
LINC01354	3244
RP5-855F14.3	1099
RP5-855F14.4	3387
RP5-855F14.2	390
U8	2945
IRF2BP2	5377
RP4-781K5.2	693
LINC00184	2270
RP4-781K5.9	526
RP4-781K5.4	2441
RP4-781K5.5	933
RP4-781K5.6	3564
RP4-781K5.7	1257
LINC01132	5083
PP2672	2438
RP11-400F1.2	3610
RNY4P16	94
RN7SL668P	303
RP11-443B7.2	423
RP11-443B7.1	3681
RP11-443B7.3	846
LINC01348	3262
RP4-597N16.1	226
RP4-597N16.4	430
TOMM20	3438
SNORA14B	135
RBM34	2939
ARID4B	11073
MIR4753	83
RPL23AP23	471
GGPS1	3809
TBCE	15396
RP11-382D8.3	282
RP11-517I24.5	1388
RP11-517I24.6	428
RPS21P1	247
B3GALNT2	10279
MTCYBP14	715
MTND6P14	522
MTND5P19	1794
MTND4P10	1363
MTND4LP21	295
MTND3P8	339
MTCO3P46	232
GNG4	5194
RP11-293G6__B.8	708
RP11-365D9.1	1724
LYST	19614
LDHAP2	985
LYST-AS1	521
MIR1537	61
RNU6-968P	107
RP5-940F7.2	740
LINC02768	190
NID1	5811
RP4-764D2.1	2310
RP4-764D2.2	1140
GPR137B	2307
ERO1B	5788
RNU2-70P	179
RP11-478H16.1	656
EDARADD	3996
ENO1P1	1304
LGALS8	9462
LGALS8-AS1	1457
RP11-385F5.5	543
RP11-385F5.4	494
HEATR1	9061
ACTN2	17976
MTR	19254
RPSAP21	885
RPL35P1	370
MT1HL1	339
RP11-182B22.7	611
RYR2	17855
RN7SKP195	303
MIR4428	73
ENSG10010138098.1	132
RP11-193H5.1	3127
ZP4	2474
RP11-193H5.2	775
MTCO1P38	300
RP11-193H5.8	1041
RP11-193H5.7	956
MTRNR2L11	1552
MTCYBP15	1127
MTND6P15	521
MTND5P18	1801
YWHAQP9	512
RP11-136B18.2	825
RP11-136B18.1	102
RNU6-725P	102
LINC01139	5965
RP11-177F15.1	2900
KRT18P32	1287
MIPEPP2	1819
RP11-362H12.2	4401
RP11-307O1.1	156
RP11-544D21.3	3645
RP11-544D21.2	3011
CHRM3	15173
CHRM3-AS2	9393
CHRM3-AS1	486
RP11-35L17.3	443
RP11-438O11.1	1459
RP11-35L17.6	858
RPS7P5	581
FMN2	18429
RP11-567G24.1	2720
ADH5P3	1137
RP11-567G24.3	497
RP11-177F11.1	316
GREM2	4176
RP11-467I20.2	357
RP11-467I20.4	204
RP11-467I20.6	675
RP11-467I20.3	454
RNU5F-8P	111
RP11-467I20.5	385
RP11-80B9.4	435
RP11-80B9.1	2730
THAP12P8	2115
RGS7	2576
RFKP1	428
HNRNPA1P42	957
RP11-435F13.2	344
MIR3123	75
RP11-306K13.1	303
RP11-527D7.4	5806
RP11-527D7.1	10647
RP11-527D7.3	3498
FH	9350
KMO	5946
OPN3	3724
CHML	7778
RP1-317G22.4	1281
WDR64	5622
RP11-553N16.6	1015
RP11-553N16.1	853
EXO1	4137
RPL23AP20	421
BECN2	1296
CFL1P4	498
MAP1LC3C	1207
TUBB8P6	1288
FAM166AP1	822
PLD5	9546
RP11-561I11.4	2555
RN7SKP12	143
RP11-561I11.3	766
RP11-513D4.3	161
RPL10AP5	634
RP11-513D4.1	510
RP11-435I3.1	437
RSL24D1P4	484
RP11-498M14.1	1410
RP11-498M14.2	557
RP11-331N16.1	80
RP11-261C10.1	792
SEPTIN14P21	1474
CICP21	1838
RP11-261C10.7	1243
LINC01347	3841
RNU6-747P	104
CEP170	10939
RP11-261C10.5	694
RP11-261C10.4	488
SDCCAG8	5321
FCF1P7	558
MIR4677	80
AKT3	16643
RP11-269F20.1	751
FABP7P1	391
RP11-370K11.1	389
AKT3-IT1	517
LINC02774	2014
ZBTB18	3906
RP11-278H7.5	3580
